Region,Country,Population
Americas,Antigua and Barbuda,103603
Americas,Anguilla,16010
Americas,Belize,417634
Americas,Bolivia,11365333
Americas,Caribbean Netherlands,31980
Americas,Saint Barthélemy,10562
Americas,Turks and Caicos Islands,50828
Americas,Curaçao,156115
Americas,Montserrat,4386
Americas,British Virgin Islands,39471
Americas,United States Minor Outlying Islands,0
Americas,Bermuda,64055
Americas,Peru,34350244
Americas,Saint Vincent and the Grenadines,110872
Americas,Dominican Republic,10771504
Americas,Costa Rica,5309625
Americas,Sint Maarten,41349
Americas,Bahamas,398165
Americas,Saint Pierre and Miquelon,5819
Americas,Honduras,9892632
Americas,Cayman Islands,84738
Americas,Cuba,9748007
Americas,Guatemala,18079810
Americas,French Guiana,292354
Americas,Grenada,109021
Americas,Chile,20206953
Americas,Colombia,53057212
Americas,Greenland,56542
Americas,El Salvador,6029976
Americas,Venezuela,28517000
Americas,Haiti,11867032
Americas,Saint Martin,31496
Americas,Aruba,107566
Americas,United States Virgin Islands,87146
Americas,Ecuador,18103660
Americas,Nicaragua,6803886
Americas,Guadeloupe,378561
Americas,Argentina,46735004
Americas,United States,340110988
Americas,Puerto Rico,3203295
Americas,Trinidad and Tobago,1367764
Americas,Panama,4064780
Americas,Uruguay,3499451
Americas,Brazil,213421037
Americas,Dominica,67408
Americas,Saint Kitts and Nevis,51320
Americas,Saint Lucia,184100
Americas,Paraguay,6109644
Americas,Barbados,267800
Americas,Martinique,349925
Americas,Falkland Islands,3662
Americas,Canada,41651653
Americas,Jamaica,2825544
Americas,Guyana,772975
Americas,Mexico,130575786
Americas,Suriname,616500
Asia,Bhutan,784043
Asia,Laos,7647000
Asia,Turkey,85664944
Asia,Sri Lanka,21763170
Asia,China,1408280000
Asia,Bangladesh,169828911
Asia,United Arab Emirates,11294243
Asia,Japan,123210000
Asia,Turkmenistan,7057841
Asia,Lebanon,5490000
Asia,South Korea,51159889
Asia,Mongolia,3544835
Asia,Saudi Arabia,35300280
Asia,Israel,10134800
Asia,Kyrgyzstan,7281800
Asia,Syria,25620000
Asia,Timor-Leste,1391221
Asia,Uzbekistan,37859698
Asia,Iran,85961000
Asia,Kazakhstan,20426568
Asia,Azerbaijan,10241722
Asia,Myanmar,51316756
Asia,Jordan,11734000
Asia,Hong Kong,7527500
Asia,Brunei,455500
Asia,Afghanistan,43844000
Asia,Vietnam,101343800
Asia,Iraq,46118793
Asia,Pakistan,241499431
Asia,Maldives,515132
Asia,Palestine,5483450
Asia,Oman,5343630
Asia,Bahrain,1594654
Asia,Singapore,6110200
Asia,Tajikistan,10499000
Asia,Taiwan,23317031
Asia,Armenia,3076200
Asia,Georgia,4000921
Asia,Qatar,3173024
Asia,Macau,685900
Asia,Yemen,32684503
Asia,Thailand,65859640
Asia,India,1417492000
Asia,Indonesia,284438782
Asia,Kuwait,4881254
Asia,Philippines,114123600
